WT	Climate	NEE	WT	Climate	CH4	WT	Climate	N2O
0	2	0.019090909	5	2	0.024	-9.248554913	3	3.414409091
0	2	-0.242685406	5	2	2.202756081	-9.1	2	6.138073859
0	2	-0.542967671	5	2	0.15531873	-8.8	2	1.070394618
0	2	-1.13	5	2	0.1243388	-8.7	2	0.05292
0	2	-1.26	5	2	0.0452438	-8.222222222	2	0.297072614
0	2	-2.18	5	2	0.009556136	-8.2	2	2.434600926
0	2	-2.29	4.7	2	0.0067068	-8	2	0.064557818
0	2	-2.62	4.7	3	0.177418788	-8	1	0.480274443
0	2	-2.84	4.5	2	0.006951315	-7	2	-0.164742437
0	1	-0.99	4.5	2	0.006512828	-6.619623965	2	0.445454545
0	1	-8.727272727	4.1	2	0.17274494	-6.25	1	4.454545455
0	2	0.804929491	4	2	0.256539325	-6.196	2	-0.14
0	2	0.747820856	4	2	0.236	-6.145552561	1	0.190909091
0	2	0.728722838	4	2	0.189	-6	2	-0.250695012
0	2	0.649734921	4	2	0.143	-5.833333333	2	0.511673455
0	2	0.589752312	4	2	0.141	-5.6	2	0.08
-0.2	2	-0.293727273	3.9	2	0.053563422	-5.1	2	0.3754
-0.4	2	0.667345477	3.8765	2	0.398488896	-5	2	0.445296602
-0.4	2	0.372519057	3.71	2	0.2568	-5	2	1.169679564
-0.4	2	0.105256	3.7	3	0.458776797	-4.838709677	3	1.578181818
-0.485436893	2	-0.81	3.278688525	2	0.020096622	-4.703755308	2	0.190909091
-0.7	2	-0.341769091	3.2	3	0.0876	-4.454033608	2	0.127272727
-0.718019845	2	-1.1608375	3.185840708	2	0.066528704	-4.161849711	3	5.597772727
-0.8	2	-0.04	3.166666667	2	0.02925	-4.161849711	3	5.597772727
-0.8	2	-0.06	3.1	2	0.016848695	-4.161849711	3	5.597772727
-0.8	2	-0.08	3	2	0.5009625	-4	2	0.480274443
-0.8	2	-0.21	3	2	0.336	-4	2	0.050139002
-0.8	2	-0.308953289	3	2	0.3	-4	2	-0.035813573
-0.8	2	-0.37	3	2	0.288	-4	2	-0.240137221
-0.8	2	-0.53	3	2	0.288	-3.202846975	2	0.572727273
-1	2	0.223175966	3	2	0.276	-3	2	-0.336647588
-1	2	-1.712727273	3	2	0.252	-2.7	2	0.283770842
-1.3	2	-1.629609693	3	2	0.252	-2.5	3	14.32454545
-1.6	2	-1.109706617	3	2	0.252	-2.5	3	9.761818182
-1.75	2	-0.541	3	2	0.241284957	-1	2	-0.207718724
-1.9	2	0.002096364	3	2	0.23325	-0.9	2	0.636363636
-1.9	2	-0.884178441	3	2	0.228	-0.7	2	0.636363636
-1.9	2	0.853099179	3	2	0.223488195	-0.186574943	2	0.485756884
-2	2	0.449637253	3	2	0.180267485	0	2	78.69092
-2	2	0.280111584	3	2	0.1125	0	1	3.807146611
-2	2	-0.6	3	2	0.02625	0	2	2.81397793
-2	2	-1.749726195	3	2	0.01313123	0	2	1.4675344
-2.238251913	2	-0.407450694	3	2	0.01030912	0	2	0.960548885
-2.4	2	0.886514492	3	2	0.010147767	0	2	0.924365607
-2.42	2	-0.678	3	2	0.22826963	0	2	0.663723482
-2.6	2	0.79	2.829268293	2	0.01376399	0	2	0.445296602
-2.6	2	0.100403282	2.827225131	2	0.1452	0	2	-0.121766149
-2.6	2	-0.276545455	2.8	1	1.088285384	0	2	0.37560149
-2.608695652	2	-2.689655172	2.8	2	0.55097723	0	2	1.268964509
-2.63	2	-0.593	2.8	2	0.05220416	0.08	2	10.94
-2.802159453	1	-0.668	2.6	2	0.390631891	0.5	1	0
-2.9	2	0.694050768	2.6	2	0.021266752	0.530973451	2	0.3754
-3	2	0.760909091	2.5	2	0.101835	0.959974984	2	0.634314359
-3	2	0.142909091	2.5	3	0.8002875	1.112181818	2	-3.6925
-3	2	0.074445655	2.5	3	0.39024	1.2	2	0.213544844
-3	2	-0.78	2.45048989	2	0.794143626	1.2	2	0
-3.016	2	-0.58	2.4	2	0.02183168	1.2	2	-0.042708969
-3.4	2	1.116268523	2.39	2	0.0015	1.3	2	0.336927084
-3.5	2	1.226936622	2.33735	2	0.162	1.5	3	0.438560714
-3.5	2	1.162493689	2.3	2	0.016848695	1.62	2	0.7
-3.5	2	0.63294912	2.1	3	0.01425	1.68	2	0.470909091
-3.5	2	-0.574	2.1	3	0.069117163	1.9	2	0.478408131
-3.5	1	2.129137689	2.1	2	0.01186571	2	2	0.960548885
-3.5	3	-6.77382912	2	2	0.85	2.1	3	-0.235454545
-3.57	2	-0.597272727	2	2	0.5119125	2.1	3	0.569393621
-3.6	2	0.42	2	2	0.022317568	2.32	2	14.18
-3.6	2	-0.49	1.951004935	2	0.163792061	2.33735	2	0.7875
-3.7	2	0.874137246	1.9	2	0.512655703	2.39	2	0.369090909
-3.8	1	-0.470060622	1.8	2	0.0945	2.45048989	2	0.377098457
-4	2	0.940909091	1.8	2	0.0858459	2.5	3	14.38818182
-4	2	0.415586771	1.8	2	0.064343778	2.5	3	9.551818182
-4	2	-0.07	1.8	2	0.0230972	2.6	2	0.278597178
-4	2	-0.86	1.68	2	0.015465	2.8	2	0.564041396
-4.01	2	-0.792	1.66	2	0.00825	3.185840708	2	0.3754
-4.090433217	1	-0.427	1.62	2	0.0143175	3.7	3	0.335206818
-4.1	2	0.021	1.61	2	0.17	3.71	2	1.3478
-4.1	2	-0.065022392	1.5	2	0.009682688	4.7	2	0.063916364
-4.181185028	2	0.4645954	1.5	3	0.376490183	4.7	3	0.514025463
-4.2	2	-0.136773287	1.3	2	0.379538818	5	2	1.440823328
-4.2	2	-0.758	1.2	2	0.0036	5	2	0.434970967
-4.33	2	0.738798912	1.2	2	0.003	5.2	2	2.82276
-4.33	2	0.738798912	1.2	2	0.0015	5.2	3	0.660504
-4.4	2	1.379798423	1.2	2	0.006766203	5.4	2	0.890318982
-4.4	2	1.082764629	1.2	2	0.004740575	5.7	1	0.436645184
-4.4	2	0.707803611	1.112181818	2	0.202	5.7	1	0.406022592
-4.4	2	0.65665992	1	2	0.360936268	5.7	1	0.365517254
-4.4727	2	-1.79	1	2	0.277429244	6	2	4.836363636
-4.5	2	0.466521683	1	2	0.264491537	6	2	4.441818182
-4.61333238	2	-0.340650267	1	2	0.2538	6	2	2.933636364
-4.771666073	1	-0.84	1	2	0.226030589	6	2	2.73
-4.854368932	2	0.23	1	2	0.186865289	6	2	6.104425024
-4.9	2	1.3745016	1	2	0.175103737	6	2	5.9920912
-4.9	2	1.107674153	1	2	0.128057526	6	2	5.318088256
