Climate	NEE_A	NEE_G	Climate	CH4_A	CH4_G	Climate	N2O_A	N2O_G
			2	15.465	15.7425			
			2	1.5	1.77			
			2	14.3175	14.4375			
			2	216.6836538	167.8298077			
			2	150.9836538	114.7644231			
			2	249	184			
			2	1.428837245	1.333812245			
			2	3.321190561	1.658253061			
			2	1.10273801	0.86517551			
			2	1.610740561	1.658253061			
			2	51.0835275	48.09024			
			2	25.34142857	18.99386503			
			2	25.34142857	18.99386503			
			2	25.34142857	18.99386503			
			2	25.34142857	18.99386503			
			2	563	419.998			
			2	160	148.1020535			
			2	2.07887506	2.282795473			
			2	3.14968033	1.35152069			
			2	12.92918103	10.90179148			
			2	3.736883971	2.687559344			
			2	8.164538056	6.361329943			
			2	2.50125	1.883367806			
			2	12.26705357	10.57671194			
			2	2.98875	3.139416349			
			2	47.11714286	42.55787646			
			2	90.04065041	83.94308943			
			2	70.0203252	65.14227642			
			2	53.67886179	50.26422764			
			2	25.48780488	24.02439024			
			2	2.113821138	1.869918699			
			2	90	86.05966598			
			2	55.69672131	51.58114523			
			2	30.6147541	29.93191304			
			2	26.92622951	6.969811888			
			2	8.114754098	2.039249446			
			2	1.475409836	0.549206925			
			2	30.97176196	5.796966161			
			2	6.305513419	3.787351225			
			3	105.12	96.4678349			
			3	52.925	52.4217899			
			3	56.94	50.66794778			
			2	277.6	181.3653333			
			2	287.5	200.7543103			
			2	93.075	72.927			
			2	1.8375	1.51875			
			2	1.5075	1.22484375			
			2	0.7046325	0.73584			
			2	2314.125	2213.51087			
			2	479.925	431.9325			
			2	628.875	571.7045455			
			2	45.06622872	31			
			2	29.57937917	16.3			
			2	-6.9255	-5.3055			
			2	40.44642857	40			
			2	48.83928571	43			
			2	53.66071429	42			
			2	57.32142857	48			
			2	41.25	33.75			
			2	52.5	43.68396226			
			2	292	234			
			2	8.25	6.75			
			2	30	11.25			
			2	203.6220694	181.5			
			2	217.3179227	194.5			
			2	58.23531847	43.5			
			2	44.27608333	30.25			
			2	138.0400024	119.25			
			2	107.4877141	90.24999998			
			2	266.449995	254.7261952			
			2	412.5	374.55			
			2	525	497.7			
			2	562.5	525.375			
			2	675	661.5			
			2	892.5	874.65			
			2	134.2927631	115			
			2	133.125	114			
			2	2.255375753	0.02754			
			2	303.6	233.775			
			2	14.4	3.975			
			2	3.6	2.7			
			2	-4.8	-2.7			
			2	2.7	1.275			
			2	0.975	2.025			
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
